class,precision,recall,f1-score,support,fold #
0.0,0.4,0.5,0.44,4.0,1.0
1.0,0.71,0.71,0.71,7.0,1.0
2.0,0.92,0.85,0.88,13.0,1.0
0.0,0.25,0.5,0.33,2.0,2.0
1.0,0.64,0.7,0.67,10.0,2.0
2.0,1.0,0.75,0.86,12.0,2.0
0.0,0.67,0.5,0.57,4.0,3.0
1.0,0.5,0.8,0.62,5.0,3.0
2.0,1.0,0.87,0.93,15.0,3.0
0.0,0.67,0.25,0.36,8.0,4.0
1.0,0.45,0.5,0.48,10.0,4.0
2.0,0.4,0.67,0.5,6.0,4.0
0.0,0.0,0.0,0.0,2.0,5.0
1.0,0.78,0.58,0.67,12.0,5.0
2.0,0.62,0.8,0.7,10.0,5.0
0.0,0.0,0.0,0.0,2.0,6.0
1.0,0.64,0.75,0.69,12.0,6.0
2.0,0.6,0.6,0.6,10.0,6.0
0.0,0.5,0.4,0.44,5.0,7.0
1.0,0.45,0.62,0.53,8.0,7.0
2.0,0.78,0.64,0.7,11.0,7.0
0.0,0.0,0.0,0.0,3.0,8.0
1.0,0.5,0.64,0.56,11.0,8.0
2.0,0.75,0.6,0.67,10.0,8.0
0.0,0.0,0.0,0.0,5.0,9.0
1.0,0.58,0.7,0.64,10.0,9.0
2.0,0.82,1.0,0.9,9.0,9.0
0.0,0.5,0.25,0.33,4.0,10.0
1.0,0.55,0.67,0.6,9.0,10.0
2.0,0.82,0.82,0.82,11.0,10.0
