Class,Precision,Recall,f1score,support,fold #
0.0,1.0,0.82,0.9,11.0,1.0
1.0,0.75,0.86,0.8,7.0,1.0
2.0,0.86,1.0,0.92,6.0,1.0
0.0,0.62,0.71,0.67,7.0,2.0
1.0,0.75,0.6,0.67,10.0,2.0
2.0,0.88,1.0,0.93,7.0,2.0
0.0,0.43,0.5,0.46,6.0,3.0
1.0,0.75,0.55,0.63,11.0,3.0
2.0,0.78,1.0,0.88,7.0,3.0
0.0,0.67,0.57,0.62,7.0,4.0
1.0,0.62,0.62,0.62,8.0,4.0
2.0,0.9,1.0,0.95,9.0,4.0
0.0,0.62,0.71,0.67,7.0,5.0
1.0,0.71,0.5,0.59,10.0,5.0
2.0,0.78,1.0,0.88,7.0,5.0
0.0,0.6,0.6,0.6,5.0,6.0
1.0,0.6,0.75,0.67,8.0,6.0
2.0,0.89,0.73,0.8,11.0,6.0
0.0,0.6,0.5,0.55,6.0,7.0
1.0,0.55,0.75,0.63,8.0,7.0
2.0,1.0,0.8,0.89,10.0,7.0
0.0,0.8,0.8,0.8,10.0,8.0
1.0,0.86,0.75,0.8,8.0,8.0
2.0,0.86,1.0,0.92,6.0,8.0
0.0,0.71,0.71,0.71,7.0,9.0
1.0,0.5,0.71,0.59,7.0,9.0
2.0,1.0,0.7,0.82,10.0,9.0
0.0,0.8,0.73,0.76,11.0,10.0
1.0,0.33,0.29,0.31,7.0,10.0
2.0,0.5,0.67,0.57,6.0,10.0
