class,precision,recall,f1-score,support,fold #
0.0,0.0,0.0,0.0,4.0,1.0
1.0,0.29,1.0,0.45,7.0,1.0
2.0,0.0,0.0,0.0,13.0,1.0
0.0,0.0,0.0,0.0,2.0,2.0
1.0,0.45,0.9,0.6,10.0,2.0
2.0,1.0,0.25,0.4,12.0,2.0
0.0,0.0,0.0,0.0,4.0,3.0
1.0,0.21,0.8,0.33,5.0,3.0
2.0,0.8,0.27,0.4,15.0,3.0
0.0,0.0,0.0,0.0,8.0,4.0
1.0,0.43,1.0,0.61,10.0,4.0
2.0,1.0,0.17,0.29,6.0,4.0
0.0,0.0,0.0,0.0,2.0,5.0
1.0,0.52,1.0,0.69,12.0,5.0
2.0,0.0,0.0,0.0,10.0,5.0
0.0,0.0,0.0,0.0,2.0,6.0
1.0,0.5,1.0,0.67,12.0,6.0
2.0,0.0,0.0,0.0,10.0,6.0
0.0,0.0,0.0,0.0,5.0,7.0
1.0,0.3,0.88,0.45,8.0,7.0
2.0,0.0,0.0,0.0,11.0,7.0
0.0,0.0,0.0,0.0,3.0,8.0
1.0,0.5,1.0,0.67,11.0,8.0
2.0,1.0,0.2,0.33,10.0,8.0
0.0,0.0,0.0,0.0,5.0,9.0
1.0,0.5,0.9,0.64,10.0,9.0
2.0,0.67,0.44,0.53,9.0,9.0
0.0,0.5,0.25,0.33,4.0,10.0
1.0,0.5,0.78,0.61,9.0,10.0
2.0,0.62,0.45,0.53,11.0,10.0
