Sample ID,Mean Pore Area,Max Pore Area,Mean Pore Diameter,Max Pore Diameter
66,10.84,10.84,2.69,2.69
66,10.84,10.84,3.8,3.8
66,3.61,3.61,1,1
66,3.61,3.61,1,1
66,7.952,10.84,2.28,3.8
66,19.88,28.92,4.035,5.38
66,9.64,14.46,2.163333333,2.69
66,3.61,3.61,1,1
66,9.64,14.46,2.683333333,4.25
66,7.23,7.23,1.9,1.9
66,7.23,7.23,1.9,1.9
66,213.27,357.86,24.72,39.2
66,18.075,21.69,4.25,4.25
66,3.61,3.61,1,1
66,7.23,7.23,1.9,1.9
66,7.23,7.23,1.9,1.9
66,7.23,7.23,1.9,1.9
72,11.93375,31.82,4.19,15.04
72,7.778,10.61,2.036,2.66
72,10.605,14.14,2.82,3.76
72,8.84,10.61,2.27,2.66
72,18.85333333,28.28,3.8,5.32
72,19.445,45.96,3.53,6.78
72,12.375,14.14,2.66,2.66
72,11.49,21.21,2.695,4.2
72,7.66,10.61,2.01,2.66
72,7.07,7.07,1.88,1.88
72,7.07,7.07,1.88,1.88
72,17.678,45.96,3.674,7.75
72,19.445,31.82,3.6,5.32
72,9.194,10.61,2.348,2.66
72,10.6075,14.14,2.74,3.76
72,27.575,155.55,4.575,13.56
72,8.484,14.14,2.036,2.66
72,14.73,21.21,3.54,5.64
72,11.195,21.21,2.783333333,4.2
72,8.25,10.61,2.506666667,3.76
77,33.97454545,252.99,5.954545455,19.33
77,5.75,5.75,1.7,1.7
77,181.12,181.12,18.02,18.02
77,5.75,5.75,1.7,1.7
77,2.87,2.87,1,1
77,2.87,2.87,1,1
77,8.625,11.5,2.05,2.4
77,29.70666667,77.62,5.21,12.23
77,113.27,379.49,13.444,34.33
77,57.5,57.5,12.34,12.34
77,31.62,31.62,7.735,8.48
77,82.41333333,229.99,10.77333333,28.22
77,14.948,31.62,3.992,6.99
77,23.95666667,60.37,4.016666667,8.65
77,11.495,14.37,5.085,6.78
77,5.75,5.75,1.7,1.7
77,7.185,8.62,2.545,3.39
77,9.930909091,31.62,2.829090909,8.65
77,46.574,166.75,6.118,17.29
77,26.83166667,71.87,4.631666667,10.31
78,50.95,50.95,8.61,8.61
78,444.63,875.37,18.855,33.41
78,183.2785714,764.21,12.13428571,32.92
78,32.4175,74.1,5.0375,8.87
78,83.94625,194.53,9.84625,19.25
78,318.0341667,1458.94,18.39833333,55.54
78,323.7863636,1537.68,17.28,59.09
78,602.1,1190.31,25.02,47
78,277.315,1671.99,16.75125,54.19
78,351.996,1347.78,20.02,48.12
78,69.11538462,333.47,8.606153846,28.71
78,124.588,625.26,11.697,31.99
78,364.7333333,2227.78,19.09416667,59.52
78,170.21,421.47,16.82,28.87
78,175.537,1380.21,10.875,46.46
78,437.218,2459.36,19.987,61.17
78,102.6666667,379.79,11.56333333,28.87
78,460.84,1764.63,16.465,50.65
78,277.315,722.52,18.855,43.58
78,215.5213333,1810.94,15.33,59.95
88,198.776,870.93,10.422,34.87
88,65.38,239.08,6.737142857,17.53
