class,precision,recall,f1-score,support,fold #
0.0,0.42,0.62,0.5,8.0,1.0
1.0,0.0,0.0,0.0,3.0,1.0
2.0,0.58,0.54,0.56,13.0,1.0
0.0,0.55,0.67,0.6,9.0,2.0
1.0,0.0,0.0,0.0,3.0,2.0
2.0,0.62,0.67,0.64,12.0,2.0
0.0,0.2,0.33,0.25,6.0,3.0
1.0,0.0,0.0,0.0,3.0,3.0
2.0,0.64,0.6,0.62,15.0,3.0
0.0,0.57,0.31,0.4,13.0,4.0
1.0,0.0,0.0,0.0,5.0,4.0
2.0,0.24,0.67,0.35,6.0,4.0
0.0,0.38,0.45,0.42,11.0,5.0
1.0,0.0,0.0,0.0,3.0,5.0
2.0,0.27,0.3,0.29,10.0,5.0
0.0,0.25,0.25,0.25,8.0,6.0
1.0,0.0,0.0,0.0,6.0,6.0
2.0,0.31,0.5,0.38,10.0,6.0
0.0,0.2,0.2,0.2,10.0,7.0
1.0,0.0,0.0,0.0,3.0,7.0
2.0,0.21,0.27,0.24,11.0,7.0
0.0,0.5,0.44,0.47,9.0,8.0
1.0,0.0,0.0,0.0,5.0,8.0
2.0,0.5,0.8,0.62,10.0,8.0
0.0,0.57,0.4,0.47,10.0,9.0
1.0,0.0,0.0,0.0,5.0,9.0
2.0,0.47,0.89,0.62,9.0,9.0
0.0,0.4,0.57,0.47,7.0,10.0
1.0,0.0,0.0,0.0,6.0,10.0
2.0,0.43,0.55,0.48,11.0,10.0
