Class,Precision,Recall,f1score,support,fold #
0.0,0.62,0.62,0.62,8.0,1.0
1.0,0.29,0.25,0.27,8.0,1.0
2.0,0.67,0.75,0.71,8.0,1.0
0.0,0.75,1.0,0.86,9.0,2.0
1.0,1.0,0.56,0.71,9.0,2.0
2.0,0.86,1.0,0.92,6.0,2.0
0.0,0.8,0.89,0.84,9.0,3.0
1.0,0.67,0.67,0.67,6.0,3.0
2.0,1.0,0.89,0.94,9.0,3.0
0.0,0.75,0.67,0.71,9.0,4.0
1.0,0.6,0.67,0.63,9.0,4.0
2.0,0.83,0.83,0.83,6.0,4.0
0.0,0.5,0.5,0.5,6.0,5.0
1.0,0.83,0.45,0.59,11.0,5.0
2.0,0.58,1.0,0.74,7.0,5.0
0.0,0.75,0.75,0.75,8.0,6.0
1.0,0.67,0.86,0.75,7.0,6.0
2.0,1.0,0.78,0.88,9.0,6.0
0.0,0.43,1.0,0.6,3.0,7.0
1.0,1.0,0.56,0.71,9.0,7.0
2.0,1.0,1.0,1.0,12.0,7.0
0.0,0.75,0.67,0.71,9.0,8.0
1.0,0.55,0.75,0.63,8.0,8.0
2.0,1.0,0.71,0.83,7.0,8.0
0.0,0.7,0.88,0.78,8.0,9.0
1.0,0.67,0.5,0.57,8.0,9.0
2.0,0.88,0.88,0.88,8.0,9.0
0.0,0.71,0.62,0.67,8.0,10.0
1.0,0.67,0.67,0.67,9.0,10.0
2.0,0.88,1.0,0.93,7.0,10.0
