Class,Precision,Recall,f1score,support,fold #
0.0,0.57,0.57,0.57,7.0,1.0
1.0,0.62,0.56,0.59,9.0,1.0
2.0,0.89,1.0,0.94,8.0,1.0
0.0,0.91,0.91,0.91,11.0,2.0
1.0,0.75,0.75,0.75,8.0,2.0
2.0,0.8,0.8,0.8,5.0,2.0
0.0,0.71,0.56,0.63,9.0,3.0
1.0,0.57,0.4,0.47,10.0,3.0
2.0,0.5,1.0,0.67,5.0,3.0
0.0,0.6,0.75,0.67,4.0,4.0
1.0,0.88,0.64,0.74,11.0,4.0
2.0,0.82,1.0,0.9,9.0,4.0
0.0,0.56,0.83,0.67,6.0,5.0
1.0,0.75,0.6,0.67,10.0,5.0
2.0,1.0,0.88,0.93,8.0,5.0
0.0,0.73,0.73,0.73,11.0,6.0
1.0,0.57,0.5,0.53,8.0,6.0
2.0,0.83,1.0,0.91,5.0,6.0
0.0,0.67,0.57,0.62,7.0,7.0
1.0,0.6,0.67,0.63,9.0,7.0
2.0,0.88,0.88,0.88,8.0,7.0
0.0,0.86,0.75,0.8,8.0,8.0
1.0,0.6,0.86,0.71,7.0,8.0
2.0,1.0,0.78,0.88,9.0,8.0
0.0,0.67,0.75,0.71,8.0,9.0
1.0,0.6,0.5,0.55,6.0,9.0
2.0,0.8,0.8,0.8,10.0,9.0
0.0,0.86,1.0,0.92,6.0,10.0
1.0,0.83,0.83,0.83,6.0,10.0
2.0,1.0,0.92,0.96,12.0,10.0
